»Àø⁄,∆Ωæ˘ƒÍ¡‰,∆Ωæ˘ ’»Î,µÍ√Ê¿‡–Õ,‘¬æ˘œ˙ €∂Ó
123600,36,2.4464,…Ã≥°µÍ,102100
105400,23,0.8026,…Ã≥°µÍ,112500
34400,38,2.0114,…Ã≥°µÍ,131300
18300,52,1.1667,…Ã≥°µÍ,112500
20000,52,1.5208,…Ã≥°µÍ,112500
34600,52,0.8075,…Ã≥°µÍ,137500
46700,35,1.8088,…Ã≥°µÍ,118800
37700,52,2.4083,…Ã≥°µÍ,98200
58200,40,0.977,…Ã≥°µÍ,118800
39600,52,1.2434,…Ã≥°µÍ,500001
90400,52,0.8668,…Ã≥°µÍ,137500
19100,52,0.75,…Ã≥°µÍ,162500
71800,27,2.6354,…Ã≥°µÍ,187500
132700,39,1.8477,…Ã≥°µÍ,179200
346900,36,2.0096,…Ã≥°µÍ,130000
204800,31,2.8345,…Ã≥°µÍ,183800
20200,29,2.0062,…Ã≥°µÍ,125000
202400,22,1.2185,…Ã≥°µÍ,170000
183800,37,2.6104,…Ã≥°µÍ,193100
230400,29,2.4912,…Ã≥°µÍ,257800
256300,28,3.2177,…Ã≥°µÍ,273400
38900,39,3.125,…Ã≥°µÍ,237500
89500,52,2.5795,…Ã≥°µÍ,350000
268900,34,2.8406,…Ã≥°µÍ,335700
67400,52,4.9306,…Ã≥°µÍ,313400
70900,52,3.2727,…Ã≥°µÍ,268500
68600,52,3.1691,…Ã≥°µÍ,259400
144400,52,3.9,…Ã≥°µÍ,275700
152000,28,3.9063,…Ã≥°µÍ,225000
55000,52,5.0917,…Ã≥°µÍ,262500
180600,32,2.6429,…Ã≥°µÍ,218500
174900,26,3.0233,…Ã≥°µÍ,255000
93900,52,3.1484,…Ã≥°µÍ,224100
67500,35,3.4722,…Ã≥°µÍ,243100
53400,52,3.1429,…Ã≥°µÍ,231600
255800,28,2.4234,…Ã≥°µÍ,218500
178600,52,3.0897,…Ã≥°µÍ,234100
97000,50,5.8596,…Ã≥°µÍ,327600
109800,47,5.2868,…Ã≥°µÍ,347600
79400,41,5.956,…Ã≥°µÍ,366100
9800,37,4.9643,…Ã≥°µÍ,335000
106100,52,6.3434,…Ã≥°µÍ,373600
117700,52,5.1773,…Ã≥°µÍ,389500
90100,52,7.2354,…Ã≥°µÍ,391100
203100,28,5.457,…Ã≥°µÍ,337300
103100,50,7.5,…Ã≥°µÍ,295200
135800,44,6.0194,…Ã≥°µÍ,292300
161600,40,7.5544,…Ã≥°µÍ,411500
84400,30,6.0666,…Ã≥°µÍ,311500
114000,34,7.0548,…Ã≥°µÍ,325900
107200,35,7.4882,…Ã≥°µÍ,319300
162700,34,6.8976,…Ã≥°µÍ,333300
46300,28,8.2049,…Ã≥°µÍ,335200
54200,26,8.401,…Ã≥°µÍ,351200
66100,29,6.8538,…Ã≥°µÍ,368900
63500,32,8.317,…Ã≥°µÍ,365900
42000,37,7.0175,…Ã≥°µÍ,366700
126500,39,6.3302,…Ã≥°µÍ,362800
12600,30,6.3624,…Ã≥°µÍ,483300
81300,52,7.0549,…Ã≥°µÍ,331400
106700,45,6.7851,…Ã≥°µÍ,323500
126000,50,2.8929,…Ã≥°µÍ,216700
95100,38,3.0812,…Ã≥°µÍ,233100
51000,52,5.2402,…Ã≥°µÍ,296400
76500,52,6.5217,…Ã≥°µÍ,273700
112900,52,3.2632,…Ã≥°µÍ,227700
107300,52,3.0298,…Ã≥°µÍ,199600
118500,52,4.5428,…Ã≥°µÍ,239800
75600,52,4.072,…Ã≥°µÍ,270100
103400,52,5.3509,…Ã≥°µÍ,302100
78700,52,3.1603,…Ã≥°µÍ,269500
61200,52,4.7708,…Ã≥°µÍ,314700
102100,52,8.1564,…Ã≥°µÍ,390100
86100,52,8.8793,…Ã≥°µÍ,410300
95300,52,6.8591,…Ã≥°µÍ,352400
63400,52,6.0302,…Ã≥°µÍ,287300
87800,52,7.508,…Ã≥°µÍ,348700
91800,52,2.7477,…Ã≥°µÍ,243800
36000,52,2.1944,…Ã≥°µÍ,211500
119700,52,3.0149,…Ã≥°µÍ,218400
104800,52,3.675,…Ã≥°µÍ,269900
137300,46,3.225,…Ã≥°µÍ,218800
171500,42,2.9345,…Ã≥°µÍ,225000
135900,43,2.1429,…Ã≥°µÍ,250000
106200,41,1.6121,…Ã≥°µÍ,171400
133500,29,1.3929,…Ã≥°µÍ,193800
117100,27,2.3173,…Ã≥°µÍ,125000
147500,45,1.7772,…Ã≥°µÍ,97500
74200,50,2.6458,…Ã≥°µÍ,125000
108600,52,2.181,…Ã≥°µÍ,138800
164500,36,2.2303,…Ã≥°µÍ,116700
171000,43,1.6504,…Ã≥°µÍ,151800
73100,52,2.2697,…Ã≥°µÍ,127000
111800,52,2.1563,…Ã≥°µÍ,128600
100600,52,2.1348,…Ã≥°µÍ,140600
121300,47,2.6292,…Ã≥°µÍ,182700
77200,52,2.3833,…Ã≥°µÍ,146900
132100,52,2.957,…Ã≥°µÍ,122800
148700,49,2.5238,…Ã≥°µÍ,169300
48800,52,1.9375,…Ã≥°µÍ,126600
94900,51,1.9028,…Ã≥°µÍ,127900
114900,50,2.25,…Ã≥°µÍ,123500
84400,52,2.3929,…Ã≥°µÍ,111900
436700,43,2.1917,…Ã≥°µÍ,112800
165900,52,2.9357,…Ã≥°µÍ,107900
101100,30,1.8854,…Ã≥°µÍ,137500
146400,39,2.1638,…Ã≥°µÍ,105500
123700,47,2.125,…Ã≥°µÍ,95500
64700,52,3.375,…Ã≥°µÍ,116100
128400,43,2.2542,…Ã≥°µÍ,112200
22800,51,2.1,…Ã≥°µÍ,75000
38100,39,1.6,…Ã≥°µÍ,112500
84600,52,3.625,…Ã≥°µÍ,125000
52000,52,1.6471,…Ã≥°µÍ,95000
86600,52,2.59,…Ã≥°µÍ,96400
61200,52,2.57,…Ã≥°µÍ,72000
41500,52,2.6429,…Ã≥°µÍ,71300
99400,52,3.0257,…Ã≥°µÍ,80800
152500,50,1.4886,…Ã≥°µÍ,128800
150600,43,1.9338,…Ã≥°µÍ,112500
100800,52,1.4844,…Ã≥°µÍ,119400
281300,44,1.6009,…Ã≥°µÍ,118100
148100,48,2.0375,…Ã≥°µÍ,122500
85900,49,2.293,…Ã≥°µÍ,106300
160800,37,2.1494,…Ã≥°µÍ,132500
42500,30,1.6198,…Ã≥°µÍ,122700
56400,40,1.3281,…Ã≥°µÍ,113300
96100,44,3.5156,…Ã≥°µÍ,109500
227300,52,3.9048,…Ã≥°µÍ,164700
60000,52,3.0893,…Ã≥°µÍ,125000
164700,46,2.6042,…Ã≥°µÍ,124700
120100,49,2.5,…Ã≥°µÍ,136700
216700,38,2.7969,…Ã≥°µÍ,141700
93900,29,2.8321,…Ã≥°µÍ,150000
85900,47,2.9583,…Ã≥°µÍ,138800
151700,34,2.8365,…Ã≥°µÍ,139200
114300,35,2.875,…Ã≥°µÍ,143800
110900,39,3.0682,…Ã≥°µÍ,156500
122100,39,3.0757,…Ã≥°µÍ,151000
111500,43,4.9559,…Ã≥°µÍ,273000
70600,52,4.7721,…Ã≥°µÍ,217100
188300,52,3.4861,…Ã≥°µÍ,187100
80400,41,5.1184,…Ã≥°µÍ,239600
50600,48,4.0977,…Ã≥°µÍ,229700
61000,48,4.744,…Ã≥°µÍ,257300
76800,46,4.2727,…Ã≥°µÍ,246900
46200,50,2.9844,…Ã≥°µÍ,179900
66700,40,4.1739,…Ã≥°µÍ,169600
105900,46,3.8487,…Ã≥°µÍ,203300
63700,52,4.0114,…Ã≥°µÍ,263400
110600,45,4.6563,…Ã≥°µÍ,231800
173700,28,2.9297,…Ã≥°µÍ,140500
100900,35,2.3036,…Ã≥°µÍ,126000
73700,49,2.6667,…Ã≥°µÍ,122000
135400,44,2.619,…Ã≥°µÍ,134700
153000,45,2.4167,…Ã≥°µÍ,139400
141000,45,2.7788,…Ã≥°µÍ,115400
139000,46,2.7352,…Ã≥°µÍ,137300
106500,52,1.8472,…Ã≥°µÍ,137000
79200,52,2.6583,…Ã≥°µÍ,142600
77900,49,3.0536,…Ã≥°µÍ,137500
226900,44,2.3906,…Ã≥°µÍ,111700
122700,43,1.7188,…Ã≥°µÍ,126800
75300,47,2.625,…Ã≥°µÍ,111300
54700,40,2.8015,…Ã≥°µÍ,114800
180700,50,1.7276,…Ã≥°µÍ,102300
170000,44,2.0801,…Ã≥°µÍ,131900
154300,51,2.489,…Ã≥°µÍ,119100
108500,52,1.7546,…Ã≥°µÍ,80600
35300,52,4.0904,…Ã≥°µÍ,80600
47300,52,2.6765,…Ã≥°µÍ,88800
162100,49,2.4338,…Ã≥°µÍ,102400
118300,46,2.3309,…Ã≥°µÍ,98700
83600,43,2.2604,…Ã≥°µÍ,100000
90000,42,1.8039,…Ã≥°µÍ,92300
188800,39,2.2562,…Ã≥°µÍ,94800
102400,41,2.0562,…Ã≥°µÍ,102000
122500,52,3.5398,…Ã≥°µÍ,158400
107100,39,3.1167,…Ã≥°µÍ,121600
112800,50,2.5401,…Ã≥°µÍ,129100
153700,43,2.898,…Ã≥°µÍ,121400
124000,44,2.3125,…Ã≥°µÍ,102800
46900,52,2.875,…Ã≥°µÍ,160000
108600,52,3.3715,…Ã≥°µÍ,143900
114400,52,3.5114,…Ã≥°µÍ,151200
110900,52,4.3125,…Ã≥°µÍ,164400
98400,52,3.22,…Ã≥°µÍ,156500
57500,33,3.875,…Ã≥°µÍ,225000
49600,49,5.2328,…Ã≥°µÍ,174200
55500,52,3.7262,…Ã≥°µÍ,166900
86900,45,4.5893,…Ã≥°µÍ,163500
23600,39,5.2578,…Ã≥°µÍ,253000
62600,41,7.0875,…Ã≥°µÍ,240700
92200,46,3.9712,…Ã≥°µÍ,208100
58200,47,2.9514,…Ã≥°µÍ,198100
54600,50,2.6667,…Ã≥°µÍ,172800
62000,37,5.4446,…Ã≥°µÍ,336700
44200,34,6.2838,…Ã≥°µÍ,318200
95500,23,6.7527,…Ã≥°µÍ,285800
91600,24,7.0712,…Ã≥°µÍ,293000
498500,22,5.9849,…Ã≥°µÍ,371000
65100,42,3.6875,…Ã≥°µÍ,157300
170400,30,2.875,…Ã≥°µÍ,135300
108500,43,3.4205,…Ã≥°µÍ,136700
71300,50,3.2984,…Ã≥°µÍ,160700
46800,49,3.875,…Ã≥°µÍ,140600
29600,52,4.175,…Ã≥°µÍ,144000
57000,47,4.375,…Ã≥°µÍ,161900
44600,48,4.7708,…Ã≥°µÍ,156300
96800,45,3.5739,…Ã≥°µÍ,176000
85700,39,3.0958,…Ã≥°µÍ,145800
91200,39,3.3958,…Ã≥°µÍ,141900
136000,31,1.871,…Ã≥°µÍ,90700
107400,41,1.9356,…Ã≥°µÍ,90600
96500,47,2.1842,…Ã≥°µÍ,107900
93300,37,2.2917,…Ã≥°µÍ,107000
98700,38,2.4333,…Ã≥°µÍ,98200
90700,50,1.9479,…Ã≥°µÍ,89500
44700,52,3.9063,…Ã≥°µÍ,93800
129900,49,1.8407,…Ã≥°µÍ,96700
39600,27,2.0786,…Ã≥°µÍ,97500
87700,42,2.8125,…Ã≥°µÍ,97300
111100,43,1.8913,…Ã≥°µÍ,91200
79000,49,1.7056,…Ã≥°µÍ,91400
147900,52,2.2768,…Ã≥°µÍ,96200
117300,51,3.2552,…Ã≥°µÍ,120100
102900,52,2.0556,…Ã≥°µÍ,100000
103000,52,2.4659,…Ã≥°µÍ,94700
82600,47,1.75,…Ã≥°µÍ,85700
141200,41,2.0469,…Ã≥°µÍ,89300
113200,45,2.7159,…Ã≥°µÍ,101400
52200,41,1.2083,…Ã≥°µÍ,72500
63000,45,1.925,…Ã≥°µÍ,74100
53100,36,1.5809,…Ã≥°µÍ,70000
192500,37,1.4097,…Ã≥°µÍ,84600
114400,38,0.7683,…Ã≥°µÍ,81800
43500,28,0.8012,…Ã≥°µÍ,81800
98400,26,1.9479,…Ã≥°µÍ,85800
56700,36,1.1765,…Ã≥°µÍ,87100
38000,42,2.3456,…Ã≥°µÍ,83500
82500,44,2.1538,…Ã≥°µÍ,79700
41700,43,2.5139,…Ã≥°µÍ,83400
80100,45,1.2625,…Ã≥°µÍ,84700
64600,42,2.9063,…Ã≥°µÍ,80000
85500,43,2.5192,…Ã≥°µÍ,76400
43500,44,2.1111,…Ã≥°µÍ,79700
273600,42,2.455,…Ã≥°µÍ,82400
148100,41,2.4028,…Ã≥°µÍ,97700
32700,47,2.15,…Ã≥°µÍ,97200
49400,43,2.4776,…Ã≥°µÍ,101600
123100,43,2.1587,…Ã≥°µÍ,86500
32300,35,1.8438,…Ã≥°µÍ,90500
74900,46,3.0298,…Ã≥°µÍ,107600
69300,46,2.25,…Ã≥°µÍ,84200
133900,46,2.2467,…Ã≥°µÍ,88900
28200,45,4.0469,…Ã≥°µÍ,80700
62100,46,1.325,…Ã≥°µÍ,87100
73200,38,1.6196,…Ã≥°µÍ,85100
90100,45,2.1731,…Ã≥°µÍ,82000
48200,36,1.9167,…Ã≥°µÍ,82800
65200,43,2.069,…Ã≥°µÍ,84600
65100,36,1.712,…Ã≥°µÍ,82100
99900,33,2.5625,…Ã≥°µÍ,89300
90700,43,1.9821,…Ã≥°µÍ,98300
82800,41,2.5043,…Ã≥°µÍ,92300
76300,44,2.3281,…Ã≥°µÍ,88800
93500,48,1.4375,…Ã≥°µÍ,90000
143700,45,2.5122,…Ã≥°µÍ,95500
151600,38,1.5625,…Ã≥°µÍ,91700
59700,47,3.1587,…Ã≥°µÍ,100400
94900,40,1.8426,…Ã≥°µÍ,94800
88100,46,4.6696,…Ã≥°µÍ,164300
143800,36,2.4598,…Ã≥°µÍ,155500
76300,39,6.0749,…Ã≥°µÍ,196900
129700,27,4.8304,…Ã≥°µÍ,279100
54500,34,5.5701,…Ã≥°µÍ,252800
122200,26,5.37,…Ã≥°µÍ,275400
80800,33,6.86,…Ã≥°µÍ,250000
32900,28,7.6923,…Ã≥°µÍ,329800
29900,36,4.0313,…Ã≥°µÍ,195500
57900,33,6.8323,…Ã≥°µÍ,255900
13700,30,4.975,…Ã≥°µÍ,311100
22900,36,5.3602,…Ã≥°µÍ,330000
147600,41,5,…Ã≥°µÍ,248900
42900,46,2.925,…Ã≥°µÍ,142900
84900,40,3.8913,…Ã≥°µÍ,126300
94600,44,3.225,…Ã≥°µÍ,135800
57100,41,3.1458,…Ã≥°µÍ,130600
113700,24,2.537,…Ã≥°µÍ,107900
37800,44,2.5568,…Ã≥°µÍ,111100
85300,43,3.5083,…Ã≥°µÍ,122000
76400,49,3.3125,…Ã≥°µÍ,118000
92800,40,1.8235,…Ã≥°µÍ,95200
40600,35,3.8047,…Ã≥°µÍ,94300
82400,34,2.2917,…Ã≥°µÍ,92500
83500,37,2.4962,…Ã≥°µÍ,91800
82600,43,4.0417,…Ã≥°µÍ,109400
56700,46,3.4844,…Ã≥°µÍ,129500
35500,52,4.1458,…Ã≥°µÍ,143400
53300,47,2.625,…Ã≥°µÍ,98200
60900,44,2.0227,…Ã≥°µÍ,103100
57600,49,3.3333,…Ã≥°µÍ,276800
59400,52,5.338,…Ã≥°µÍ,270900
87000,52,3.4732,…Ã≥°µÍ,246200
102700,38,3.5125,…Ã≥°µÍ,224200
69300,52,3.1375,…Ã≥°µÍ,229100
81500,46,2.8036,…Ã≥°µÍ,211600
51800,36,3.0208,…Ã≥°µÍ,206300
62000,52,4.0875,…Ã≥°µÍ,221300
55100,42,4.5268,…Ã≥°µÍ,207400
255600,37,1.7375,…Ã≥°µÍ,350000
149800,52,3.1795,…Ã≥°µÍ,218200
52300,50,3.8672,…Ã≥°µÍ,216700
37400,52,5.1675,…Ã≥°µÍ,270600
100400,52,5.1696,…Ã≥°µÍ,261400
76900,52,4.2614,…Ã≥°µÍ,261300
94000,52,5.0551,…Ã≥°µÍ,232200
64500,42,5.6228,…Ã≥°µÍ,375400
70500,52,7.8864,…Ã≥°µÍ,357300
68400,52,7.9556,…Ã≥°µÍ,374400
57200,52,6.174,…Ã≥°µÍ,358800
67100,52,6.9414,…Ã≥°µÍ,417500
97500,52,8.8342,…Ã≥°µÍ,430500
77900,52,7.1754,…Ã≥°µÍ,362900
65800,52,10.0825,…Ã≥°µÍ,397000
81900,52,4.9083,…Ã≥°µÍ,346800
41200,52,5.7912,…Ã≥°µÍ,327100
83500,52,4.5893,…Ã≥°µÍ,290100
72200,52,5.4171,…Ã≥°µÍ,292000
108500,52,4.125,…Ã≥°µÍ,270900
97300,52,7.266,…Ã≥°µÍ,371100
72300,52,5.3989,…Ã≥°µÍ,335600
90300,37,7.8336,…Ã≥°µÍ,371300
35600,41,6.1593,…Ã≥°µÍ,344000
100500,52,6.381,…Ã≥°µÍ,342200
120500,52,6.6828,…Ã≥°µÍ,370900
98700,37,7.5385,…Ã≥°µÍ,350000
103100,42,6.7138,…Ã≥°µÍ,368600
89400,52,6.2425,…Ã≥°µÍ,391800
82300,52,5.7979,…Ã≥°µÍ,415300
123200,52,4.2813,…Ã≥°µÍ,284900
66900,52,3.5417,…Ã≥°µÍ,287500
98900,44,3.0132,…Ã≥°µÍ,272900
105800,52,4.1429,…Ã≥°µÍ,259600
50600,52,4.1912,…Ã≥°µÍ,254500
48900,52,3.9167,…Ã≥°µÍ,235600
82400,52,3.8897,…Ã≥°µÍ,218400
103400,48,3.1065,…Ã≥°µÍ,229200
92000,46,2.9926,…Ã≥°µÍ,192100
84100,52,3.556,…Ã≥°µÍ,179300
74900,45,1.475,…Ã≥°µÍ,187500
20800,52,1.6971,…Ã≥°µÍ,138800
28700,50,2.75,…Ã≥°µÍ,140600
21800,52,2.5682,…Ã≥°µÍ,120000
85400,46,2.9,…Ã≥°µÍ,144800
169500,52,2.2208,…Ã≥°µÍ,144800
40300,52,3.2344,…Ã≥°µÍ,245500
28800,52,3.5156,…Ã≥°µÍ,200000
96300,49,1.9805,…Ã≥°µÍ,173700
112900,50,2.6684,…Ã≥°µÍ,185600
38600,52,3.875,…Ã≥°µÍ,182600
81100,52,3.006,…Ã≥°µÍ,227900
129300,46,2.543,…Ã≥°µÍ,220700
80500,46,2.8676,…Ã≥°µÍ,212000
137200,52,2.1907,…Ã≥°µÍ,271400
86200,30,1.7778,…Ã≥°µÍ,268800
115200,37,2.52,…Ã≥°µÍ,277800
48300,52,4.2788,…Ã≥°µÍ,332500
155800,52,2.944,…Ã≥°µÍ,338900
179800,52,1.725,…Ã≥°µÍ,287500
26600,41,5.2289,…Ã≥°µÍ,384600
218400,42,2.5562,…Ã≥°µÍ,371400
201600,52,0.949,…Ã≥°µÍ,350000
134900,52,1.1696,…Ã≥°µÍ,500001
333700,52,1.4012,…Ã≥°µÍ,175000
172100,52,1.1859,…Ã≥°µÍ,241700
167500,35,1.7464,…Ã≥°µÍ,216700
70700,49,2.8846,…Ã≥°µÍ,211300
142400,52,2.7372,…Ã≥°µÍ,210200
39300,52,3.8594,…Ã≥°µÍ,196400
82800,52,3.5625,…Ã≥°µÍ,191700
57100,52,2.2788,…Ã≥°µÍ,182300
138200,44,2.537,…Ã≥°µÍ,175000
79200,46,2.525,…Ã≥°µÍ,165900
81500,52,1.9946,…Ã≥°µÍ,156900
78800,52,2.8214,…Ã≥°µÍ,164300
114500,52,2.6165,…Ã≥°µÍ,150000
135400,50,1.9483,…Ã≥°µÍ,150500
95800,52,1.9327,…Ã≥°µÍ,169900
136100,49,1.9798,…Ã≥°µÍ,147400
100500,52,2.4167,…Ã≥°µÍ,152700
92400,49,2.5417,…Ã≥°µÍ,182700
78000,52,3.3906,…Ã≥°µÍ,179300
158200,52,2.5652,…Ã≥°µÍ,157700
121300,41,2.2845,…Ã≥°µÍ,153100
48600,52,2.6071,…Ã≥°µÍ,250000
49400,52,3.15,…Ã≥°µÍ,206300
84900,52,2.6914,…Ã≥°µÍ,218800
112700,52,1.8447,…Ã≥°µÍ,198200
327600,35,1.6307,…Ã≥°µÍ,253600
149300,52,2.9044,…Ã≥°µÍ,257400
146100,52,2.9405,…Ã≥°µÍ,289500
125300,52,3.3893,…Ã≥°µÍ,241700
165600,48,3.0417,…Ã≥°µÍ,489600
51400,52,7.0897,…Ã≥°µÍ,446200
71900,52,5.0463,…Ã≥°µÍ,456300
87800,52,1.7652,…Ã≥°µÍ,336800
51700,52,7.8521,…Ã≥°µÍ,500001
136600,52,9.3959,…Ã≥°µÍ,500001
131600,52,5.3794,…Ã≥°µÍ,376900
150800,52,3.2619,…Ã≥°µÍ,309600
180000,52,2.7054,…Ã≥°µÍ,182300
71900,47,2.2431,…Ã≥°µÍ,172700
67500,50,1.9028,…Ã≥°µÍ,150800
87500,52,1.5817,…Ã≥°µÍ,153600
15200,52,2.2841,…Ã≥°µÍ,106300
84300,47,1.3785,…Ã≥°µÍ,142300
28100,52,2.9018,…Ã≥°µÍ,119400
50600,44,1.73,…Ã≥°µÍ,147900
105400,48,2.2625,…Ã≥°µÍ,132900
101700,35,2.2106,…Ã≥°µÍ,132500
162300,52,2.6997,…Ã≥°µÍ,126900
94700,52,7.8772,…Ã≥°µÍ,500001
80800,39,11.8603,…Ã≥°µÍ,500001
101800,42,13.499,…Ã≥°µÍ,500001
100100,52,12.2138,…Ã≥°µÍ,500001
100500,52,8.1872,…Ã≥°µÍ,466100
119200,52,12.3804,…Ã≥°µÍ,500001
58500,52,5.8948,…Ã≥°µÍ,457800
91600,52,8.1194,…Ã≥°µÍ,471600
55600,52,8.7477,…Ã≥°µÍ,500001
147000,52,6.155,…Ã≥°µÍ,398600
110400,52,5.883,…Ã≥°µÍ,340700
124200,52,5.2128,…Ã≥°µÍ,289900
80500,52,4.7188,…Ã≥°µÍ,335300
37800,52,5.2915,…Ã≥°µÍ,333000
48100,52,2.6411,…Ã≥°µÍ,241000
40900,52,3.3214,…Ã≥°µÍ,189600
88500,52,3.6417,…Ã≥°µÍ,206300
146800,52,3.0161,…Ã≥°µÍ,215700
48200,52,3.1771,…Ã≥°µÍ,210200
82500,52,3.4531,…Ã≥°µÍ,208800
42900,52,4.3098,…Ã≥°µÍ,197900
52800,52,3.3438,…Ã≥°µÍ,201300
49600,52,2.9213,…Ã≥°µÍ,190800
71800,52,2.6806,…Ã≥°µÍ,207900
63000,52,3.7708,…Ã≥°µÍ,215300
72300,45,3.9444,…Ã≥°µÍ,212900
366800,30,2.5444,…Ã≥°µÍ,275000
203700,42,2.6447,…Ã≥°µÍ,200000
374100,29,2.5762,…Ã≥°µÍ,173400
82100,42,1.9427,…Ã≥°µÍ,102200
87000,52,2.9688,…Ã≥°µÍ,220800
190100,27,3.75,…Ã≥°µÍ,242800
73000,50,2.5139,…Ã≥°µÍ,219000
79300,52,2.9732,…Ã≥°µÍ,282100
103300,52,5.5337,…Ã≥°µÍ,372000
87200,52,4.1667,…Ã≥°µÍ,225800
84900,52,2.7115,…Ã≥°µÍ,220800
112100,52,3.3269,…Ã≥°µÍ,234500
87200,52,3.2685,…Ã≥°µÍ,254200
63700,52,4.7778,…Ã≥°µÍ,351800
66300,52,4.226,…Ã≥°µÍ,275000
41100,52,3.3571,…Ã≥°µÍ,405400
91500,52,2.9899,…Ã≥°µÍ,228100
92100,52,2.875,…Ã≥°µÍ,234000
58500,43,2.3882,…Ã≥°µÍ,162500
208600,43,2.975,…Ã≥°µÍ,243400
130300,52,5.1039,…Ã≥°µÍ,273800
37400,52,4.1458,…Ã≥°µÍ,248500
97900,52,3.4762,…Ã≥°µÍ,244000
82700,52,2.6833,…Ã≥°µÍ,240900
65800,52,5.75,…Ã≥°µÍ,306300
65400,50,3.9632,…Ã≥°µÍ,240000
38400,45,4.9489,…Ã≥°µÍ,247100
149900,27,4.8711,…Ã≥°µÍ,286600
112800,52,3.0718,…Ã≥°µÍ,266700
111000,49,3.6719,…Ã≥°µÍ,229800
111900,52,4.6094,…Ã≥°µÍ,229300
293000,21,4.5213,…Ã≥°µÍ,228400
89700,25,4.4562,…Ã≥°µÍ,206200
297300,31,3.2689,…Ã≥°µÍ,231000
134000,52,3.567,…Ã≥°µÍ,252900
297400,28,3.6875,…Ã≥°µÍ,353900
